field_id,availability,stability,private,value_type,base_type,item_type,instanced,arrayed,sexed,units,main_category,encoding_id,instance_id,instance_min,instance_max,array_min,array_max,debut,version,num_participants,item_count
1598,0,0,0,11,0,0,1,0,0,measures,100051,100291,2,0,3,0,0,2012-01-05,2020-03-19,349120,397992
1608,0,0,0,11,0,0,1,0,0,glasses,100051,100291,2,0,3,0,0,2012-01-05,2020-03-19,349120,397992
1618,0,0,0,21,11,0,1,0,0,,100051,100416,2,0,3,0,0,2012-01-05,2020-03-19,395102,454639
1628,0,0,0,21,11,0,1,0,0,,100051,100417,2,0,3,0,0,2012-01-05,2020-03-19,460892,527671
1647,0,0,0,21,11,0,1,0,0,,100033,100420,2,0,2,0,0,2012-01-05,2016-11-03,501600,533598
1677,0,0,0,21,11,0,1,0,0,,100033,100349,2,0,2,0,0,2012-01-05,2016-11-03,501600,533598
1687,0,0,0,21,11,0,1,0,0,,100033,100428,2,0,2,0,0,2012-01-05,2016-11-03,501600,533598
1697,0,0,0,21,11,0,1,0,0,,100033,100429,2,0,2,0,0,2012-01-05,2016-11-03,501600,533598
1707,0,0,0,21,11,0,1,0,0,,100033,100430,2,0,2,0,0,2012-01-05,2016-11-03,501600,533598
1717,0,0,0,21,11,0,1,0,0,,100055,100431,2,0,2,0,0,2012-01-05,2016-11-03,501599,533597
1727,0,0,0,21,11,0,1,0,0,,100055,100432,2,0,2,0,0,2012-01-05,2016-11-03,498399,529827
1737,0,0,0,11,0,0,1,0,0,times,100055,100291,2,0,2,0,0,2012-01-05,2016-11-03,498399,529827
1747,0,0,0,21,11,0,1,0,0,,100055,100434,2,0,2,0,0,2012-01-05,2016-11-03,501599,533597
1757,0,0,0,21,11,0,1,0,0,,100055,100435,2,0,3,0,0,2012-01-05,2020-03-19,498726,569999
1767,0,0,0,21,11,0,1,0,0,,100033,100349,2,0,3,0,0,2012-01-05,2020-03-19,501609,573769
1777,0,0,0,21,11,0,1,0,0,,100033,100349,2,0,2,0,0,2012-01-05,2016-11-03,494258,525786
1787,0,0,0,21,11,0,1,0,0,,100033,100349,2,0,2,0,0,2012-01-05,2016-11-03,494258,525786
1797,0,0,0,21,11,0,1,0,0,,100034,100349,2,0,3,0,0,2012-01-05,2020-03-19,494284,565454
1807,0,0,0,11,0,0,1,0,0,years,100034,100291,2,0,3,0,0,2012-01-05,2020-03-19,386075,439653
1835,0,0,0,21,11,0,1,0,0,,100034,100349,2,0,3,0,0,2012-01-05,2020-03-19,494284,565454
1845,0,0,0,11,0,0,1,0,0,years,100034,100291,2,0,3,0,0,2012-01-05,2020-03-19,199415,218252
1873,0,0,0,11,0,0,1,0,0,,100034,100291,2,0,3,0,0,2012-01-05,2020-03-19,494281,565451
1883,0,0,0,11,0,0,1,0,0,,100034,100291,2,0,3,0,0,2012-01-05,2020-03-19,494281,565451
1920,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501605,573765
1930,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501605,573765
1940,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501605,573765
1950,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501604,573764
1960,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501604,573764
1970,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501604,573764
1980,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501603,573763
1990,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501603,573763
2000,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501603,573763
2010,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501603,573763
2020,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501602,573762
2030,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501602,573762
2040,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501602,573762
2050,0,0,0,21,11,0,1,0,0,,100060,100484,2,0,3,0,0,2012-01-05,2020-03-19,501602,573762
2060,0,0,0,21,11,0,1,0,0,,100060,100484,2,0,3,0,0,2012-01-05,2020-03-19,501601,573761
2070,0,0,0,21,11,0,1,0,0,,100060,100484,2,0,3,0,0,2012-01-05,2020-03-19,501600,573760
2080,0,0,0,21,11,0,1,0,0,,100060,100484,2,0,3,0,0,2012-01-05,2020-03-19,501599,573759
